CMDLINE python good_optimizing.py
MEM 9.328125 1686578429.2543
MEM 9.328125 1686578429.3584
MEM 9.328125 1686578429.4625
MEM 9.328125 1686578429.5666
MEM 9.328125 1686578429.6717
MEM 9.328125 1686578429.7768
MEM 9.328125 1686578429.8819
MEM 9.328125 1686578429.9870
MEM 9.328125 1686578430.0911
MEM 9.328125 1686578430.1952
MEM 9.328125 1686578430.2993
MEM 9.328125 1686578430.4033
MEM 9.328125 1686578430.5071
MEM 9.328125 1686578430.6112
MEM 9.328125 1686578430.7153
MEM 9.328125 1686578430.8204
MEM 9.328125 1686578430.9245
MEM 9.328125 1686578431.0296
MEM 9.328125 1686578431.1338
MEM 9.328125 1686578431.2379
MEM 9.328125 1686578431.3418
MEM 9.328125 1686578431.4478
MEM 9.328125 1686578431.5518
MEM 9.328125 1686578431.6558
MEM 9.328125 1686578431.7609
MEM 9.328125 1686578431.8642
MEM 9.328125 1686578431.9693
MEM 9.328125 1686578432.0725
MEM 9.328125 1686578432.1776
MEM 9.328125 1686578432.2817
MEM 9.328125 1686578432.3858
MEM 9.328125 1686578432.4905
MEM 9.328125 1686578432.5951
MEM 9.328125 1686578432.6992
MEM 9.273438 1686578432.8023
MEM 9.273438 1686578432.9064
MEM 9.273438 1686578433.0115
MEM 9.273438 1686578433.1161
MEM 9.273438 1686578433.2202
MEM 9.273438 1686578433.3253
MEM 9.273438 1686578433.4284
MEM 9.273438 1686578433.5325
MEM 9.273438 1686578433.6366
MEM 9.273438 1686578433.7407
MEM 9.273438 1686578433.8458
MEM 9.273438 1686578433.9494
MEM 9.273438 1686578434.0545
MEM 9.273438 1686578434.1586
MEM 9.273438 1686578434.2627
MEM 9.273438 1686578434.3662
MEM 9.273438 1686578434.4703
MEM 9.273438 1686578434.5744
MEM 9.273438 1686578434.6795
MEM 9.273438 1686578434.7826
MEM 9.273438 1686578434.8882
MEM 9.273438 1686578434.9916
MEM 9.273438 1686578435.0963
MEM 9.273438 1686578435.2004
MEM 9.273438 1686578435.3045
MEM 9.273438 1686578435.4086
MEM 9.273438 1686578435.5137
MEM 9.273438 1686578435.6188
MEM 9.273438 1686578435.7229
MEM 9.273438 1686578435.8280
MEM 9.273438 1686578435.9321
MEM 9.273438 1686578436.0352
MEM 9.273438 1686578436.1411
MEM 9.273438 1686578436.2462
MEM 9.273438 1686578436.3513
MEM 9.273438 1686578436.4554
MEM 9.273438 1686578436.5595
MEM 9.273438 1686578436.6636
MEM 9.273438 1686578436.7677
MEM 9.273438 1686578436.8718
MEM 9.273438 1686578436.9759
MEM 9.273438 1686578437.0806
MEM 9.273438 1686578437.1847
MEM 9.273438 1686578437.2888
MEM 9.273438 1686578437.3929
MEM 9.273438 1686578437.4970
MEM 9.273438 1686578437.6011
MEM 9.273438 1686578437.7051
MEM 9.273438 1686578437.8092
MEM 9.273438 1686578437.9133
MEM 9.273438 1686578438.0184
MEM 9.273438 1686578438.1225
MEM 9.273438 1686578438.2266
MEM 9.273438 1686578438.3307
MEM 9.273438 1686578438.4348
MEM 9.273438 1686578438.5389
MEM 9.273438 1686578438.6446
MEM 9.273438 1686578438.7482
MEM 9.273438 1686578438.8523
MEM 9.273438 1686578438.9574
MEM 9.273438 1686578439.0605
MEM 9.273438 1686578439.1646
MEM 9.273438 1686578439.2695
MEM 9.273438 1686578439.3732
MEM 9.273438 1686578439.4783
MEM 9.273438 1686578439.5819
MEM 9.273438 1686578439.6861
MEM 9.273438 1686578439.7902
MEM 9.273438 1686578439.8943
MEM 9.273438 1686578439.9995
MEM 9.273438 1686578440.1036
MEM 9.273438 1686578440.2077
MEM 9.273438 1686578440.3126
MEM 9.273438 1686578440.4177
MEM 9.273438 1686578440.5230
MEM 9.273438 1686578440.6266
MEM 9.273438 1686578440.7311
MEM 9.273438 1686578440.8362
MEM 9.273438 1686578440.9413
MEM 9.273438 1686578441.0443
MEM 9.273438 1686578441.1484
MEM 9.273438 1686578441.2533
MEM 9.273438 1686578441.3590
MEM 9.273438 1686578441.4631
MEM 9.273438 1686578441.5662
MEM 9.273438 1686578441.6703
MEM 9.273438 1686578441.7743
MEM 9.273438 1686578441.8794
MEM 9.273438 1686578441.9845
MEM 9.273438 1686578442.0881
MEM 9.273438 1686578442.1932
MEM 9.273438 1686578442.2980
MEM 9.273438 1686578442.4026
MEM 9.273438 1686578442.5071
MEM 9.273438 1686578442.6107
MEM 9.273438 1686578442.7165
MEM 9.273438 1686578442.8198
MEM 9.273438 1686578442.9248
MEM 9.273438 1686578443.0291
MEM 9.273438 1686578443.1332
MEM 9.273438 1686578443.2381
MEM 9.273438 1686578443.3421
MEM 9.273438 1686578443.4478
MEM 9.273438 1686578443.5518
MEM 9.273438 1686578443.6568
MEM 9.273438 1686578443.7608
MEM 9.273438 1686578443.8663
MEM 9.273438 1686578443.9704
MEM 9.273438 1686578444.0740
MEM 9.273438 1686578444.1781
MEM 9.273438 1686578444.2822
MEM 9.273438 1686578444.3863
MEM 9.273438 1686578444.4904
MEM 9.273438 1686578444.5944
MEM 9.273438 1686578444.6985
MEM 9.273438 1686578444.8026
MEM 9.273438 1686578444.9067
MEM 9.273438 1686578445.0108
MEM 9.273438 1686578445.1149
MEM 9.273438 1686578445.2195
MEM 9.273438 1686578445.3246
MEM 9.273438 1686578445.4284
MEM 9.273438 1686578445.5324
MEM 9.273438 1686578445.6365
MEM 9.273438 1686578445.7406
MEM 9.273438 1686578445.8452
MEM 9.273438 1686578445.9493
MEM 9.273438 1686578446.0533
MEM 9.273438 1686578446.1592
MEM 9.273438 1686578446.2623
MEM 9.273438 1686578446.3664
MEM 9.273438 1686578446.4705
MEM 9.273438 1686578446.5749
MEM 9.273438 1686578446.6799
MEM 9.273438 1686578446.7834
MEM 9.273438 1686578446.8875
MEM 9.273438 1686578446.9916
MEM 9.273438 1686578447.0965
MEM 9.273438 1686578447.2019
MEM 9.273438 1686578447.3051
MEM 9.273438 1686578447.4092
MEM 9.273438 1686578447.5133
MEM 9.273438 1686578447.6174
MEM 9.273438 1686578447.7228
MEM 9.273438 1686578447.8269
MEM 9.273438 1686578447.9310
MEM 9.273438 1686578448.0350
MEM 9.273438 1686578448.1392
MEM 9.273438 1686578448.2434
MEM 9.273438 1686578448.3475
MEM 9.273438 1686578448.4518
MEM 9.273438 1686578448.5563
MEM 9.273438 1686578448.6617
MEM 9.273438 1686578448.7648
MEM 9.273438 1686578448.8694
MEM 9.273438 1686578448.9735
MEM 9.273438 1686578449.0782
MEM 9.273438 1686578449.1824
MEM 9.273438 1686578449.2865
MEM 9.273438 1686578449.3906
MEM 9.273438 1686578449.4952
MEM 9.273438 1686578449.6003
MEM 9.273438 1686578449.7044
MEM 9.273438 1686578449.8095
MEM 9.273438 1686578449.9146
MEM 9.273438 1686578450.0187
MEM 9.273438 1686578450.1228
MEM 9.273438 1686578450.2274
MEM 9.273438 1686578450.3310
MEM 9.273438 1686578450.4351
MEM 9.273438 1686578450.5392
MEM 9.273438 1686578450.6444
MEM 9.273438 1686578450.7486
MEM 9.273438 1686578450.8537
MEM 9.273438 1686578450.9588
MEM 9.273438 1686578451.0619
MEM 9.273438 1686578451.1660
MEM 9.273438 1686578451.2702
MEM 9.273438 1686578451.3749
MEM 9.273438 1686578451.4800
MEM 9.273438 1686578451.5841
MEM 9.273438 1686578451.6882
MEM 9.273438 1686578451.7923
MEM 9.273438 1686578451.8964
MEM 9.273438 1686578452.0014
MEM 9.273438 1686578452.1055
MEM 9.273438 1686578452.2102
MEM 9.273438 1686578452.3143
MEM 9.273438 1686578452.4194
MEM 9.273438 1686578452.5235
MEM 9.273438 1686578452.6276
MEM 9.273438 1686578452.7317
MEM 9.273438 1686578452.8378
MEM 9.273438 1686578452.9418
MEM 9.347656 1686578453.0458
MEM 9.351562 1686578453.1506
MEM 9.355469 1686578453.2547
MEM 9.355469 1686578453.3598
MEM 9.355469 1686578453.4638
MEM 9.355469 1686578453.5680
MEM 9.355469 1686578453.6721
MEM 9.355469 1686578453.7762
MEM 9.355469 1686578453.8813
MEM 9.355469 1686578453.9854
MEM 9.355469 1686578454.0901
MEM 9.355469 1686578454.1942
MEM 9.355469 1686578454.2983
MEM 9.355469 1686578454.4034
MEM 9.355469 1686578454.5074
MEM 9.355469 1686578454.6118
MEM 9.355469 1686578454.7157
MEM 9.355469 1686578454.8214
MEM 9.355469 1686578454.9264
MEM 9.355469 1686578455.0305
MEM 9.355469 1686578455.1341
MEM 9.355469 1686578455.2382
MEM 9.355469 1686578455.3423
MEM 9.355469 1686578455.4464
MEM 9.355469 1686578455.5504
MEM 9.355469 1686578455.6545
MEM 9.355469 1686578455.7596
MEM 9.355469 1686578455.8637
MEM 9.355469 1686578455.9678
MEM 9.355469 1686578456.0729
MEM 9.355469 1686578456.1760
MEM 9.355469 1686578456.2807
MEM 9.355469 1686578456.3853
MEM 9.355469 1686578456.4894
MEM 9.355469 1686578456.5935
MEM 9.355469 1686578456.6976
MEM 9.355469 1686578456.8018
MEM 9.355469 1686578456.9058
MEM 9.355469 1686578457.0106
MEM 9.355469 1686578457.1157
MEM 9.355469 1686578457.2198
MEM 9.355469 1686578457.3229
MEM 9.355469 1686578457.4270
MEM 9.355469 1686578457.5320
MEM 9.355469 1686578457.6371
MEM 9.355469 1686578457.7428
MEM 9.355469 1686578457.8461
MEM 9.355469 1686578457.9501
MEM 9.355469 1686578458.0541
MEM 9.355469 1686578458.1591
MEM 9.355469 1686578458.2631
MEM 9.355469 1686578458.3672
MEM 9.355469 1686578458.4718
MEM 9.355469 1686578458.5772
MEM 9.355469 1686578458.6807
MEM 9.355469 1686578458.7848
MEM 9.355469 1686578458.8893
MEM 9.355469 1686578458.9936
MEM 9.355469 1686578459.0978
MEM 9.355469 1686578459.2028
MEM 9.355469 1686578459.3068
