CMDLINE python bad_optimizing.py
MEM 4068.968750 1686578273.6188
MEM 4104.308594 1686578273.7230
MEM 4139.433594 1686578273.8275
MEM 4174.906250 1686578273.9316
MEM 4210.156250 1686578274.0357
MEM 4245.460938 1686578274.1399
MEM 4281.023438 1686578274.2440
MEM 4316.097656 1686578274.3481
MEM 4351.386719 1686578274.4517
MEM 4386.613281 1686578274.5553
MEM 4422.054688 1686578274.6596
MEM 4457.308594 1686578274.7637
MEM 4484.250000 1686578274.8678
MEM 4519.570312 1686578274.9719
MEM 4554.792969 1686578275.0755
MEM 4590.214844 1686578275.1793
MEM 4625.429688 1686578275.2834
MEM 4660.355469 1686578275.3874
MEM 4695.753906 1686578275.4915
MEM 4730.871094 1686578275.5956
MEM 4765.929688 1686578275.6997
MEM 4801.128906 1686578275.8038
MEM 4835.687500 1686578275.9079
MEM 4870.515625 1686578276.0120
MEM 4905.613281 1686578276.1161
MEM 4934.375000 1686578276.2242
MEM 4961.082031 1686578276.3278
MEM 4995.753906 1686578276.4318
MEM 5030.449219 1686578276.5357
MEM 5056.691406 1686578276.6398
MEM 5090.113281 1686578276.7440
MEM 5124.449219 1686578276.8483
MEM 5158.636719 1686578276.9533
MEM 5193.042969 1686578277.0574
MEM 5227.839844 1686578277.1608
MEM 5263.277344 1686578277.2658
MEM 5298.242188 1686578277.3698
MEM 5333.750000 1686578277.4739
MEM 5369.179688 1686578277.5780
MEM 5404.867188 1686578277.6821
MEM 5439.582031 1686578277.7862
MEM 5474.917969 1686578277.8903
MEM 5510.738281 1686578277.9948
MEM 5546.347656 1686578278.0989
MEM 5581.964844 1686578278.2030
MEM 5617.429688 1686578278.3071
MEM 5652.488281 1686578278.4122
MEM 5673.949219 1686578278.5159
MEM 5708.429688 1686578278.6215
MEM 5743.824219 1686578278.7256
MEM 5778.804688 1686578278.8303
MEM 5810.742188 1686578278.9344
MEM 5836.351562 1686578279.0395
MEM 5867.652344 1686578279.1446
MEM 5902.183594 1686578279.2477
MEM 5936.781250 1686578279.3518
MEM 5971.714844 1686578279.4559
MEM 6007.046875 1686578279.5606
MEM 6042.917969 1686578279.6647
MEM 6078.328125 1686578279.7683
MEM 6113.726562 1686578279.8719
MEM 6149.460938 1686578279.9760
MEM 6185.261719 1686578280.0806
MEM 6221.234375 1686578280.1847
MEM 6256.605469 1686578280.2883
MEM 6292.039062 1686578280.3924
MEM 6327.515625 1686578280.4969
MEM 6363.140625 1686578280.6012
MEM 6387.671875 1686578280.7053
MEM 6421.925781 1686578280.8104
MEM 6456.238281 1686578280.9145
MEM 6489.410156 1686578281.0196
MEM 6523.808594 1686578281.1237
MEM 6559.339844 1686578281.2283
MEM 6594.378906 1686578281.3324
MEM 6629.710938 1686578281.4365
MEM 6665.058594 1686578281.5406
MEM 6700.746094 1686578281.6447
MEM 6736.300781 1686578281.7488
MEM 6771.531250 1686578281.8526
MEM 6807.093750 1686578281.9567
MEM 6842.355469 1686578282.0607
MEM 6877.773438 1686578282.1648
MEM 6913.265625 1686578282.2689
MEM 6948.441406 1686578282.3730
MEM 6983.976562 1686578282.4771
MEM 7019.535156 1686578282.5812
MEM 7054.925781 1686578282.6853
MEM 7090.121094 1686578282.7894
MEM 7125.332031 1686578282.8935
MEM 7160.582031 1686578282.9976
MEM 7183.289062 1686578283.1017
MEM 7217.683594 1686578283.2059
MEM 7252.164062 1686578283.3105
MEM 7287.089844 1686578283.4146
MEM 7322.386719 1686578283.5187
MEM 7357.773438 1686578283.6228
MEM 7393.136719 1686578283.7264
MEM 7428.187500 1686578283.8315
MEM 7463.003906 1686578283.9346
MEM 7498.085938 1686578284.0387
MEM 7533.265625 1686578284.1423
MEM 7568.402344 1686578284.2454
MEM 7603.414062 1686578284.3495
MEM 7638.457031 1686578284.4536
MEM 7673.570312 1686578284.5577
MEM 7708.867188 1686578284.6618
MEM 7744.238281 1686578284.7659
MEM 7778.949219 1686578284.8700
MEM 7814.371094 1686578284.9741
MEM 7849.765625 1686578285.0782
MEM 7885.007812 1686578285.1817
MEM 7920.546875 1686578285.2861
MEM 7955.675781 1686578285.3902
MEM 7991.183594 1686578285.4943
MEM 8026.582031 1686578285.5984
MEM 8135.781250 1686578285.7020
MEM 8083.503906 1686578285.8064
MEM 8117.808594 1686578285.9104
MEM 8152.199219 1686578286.0145
MEM 8186.476562 1686578286.1186
MEM 8221.582031 1686578286.2236
MEM 8256.433594 1686578286.3272
MEM 8291.628906 1686578286.4313
MEM 8327.011719 1686578286.5354
MEM 8362.320312 1686578286.6395
MEM 8397.730469 1686578286.7436
MEM 8432.953125 1686578286.8477
MEM 8468.355469 1686578286.9518
MEM 8504.539062 1686578287.0559
MEM 8539.910156 1686578287.1601
MEM 8575.445312 1686578287.2642
MEM 8610.753906 1686578287.3684
MEM 8645.390625 1686578287.4723
MEM 8680.121094 1686578287.5763
MEM 8714.578125 1686578287.6814
MEM 8749.699219 1686578287.7849
MEM 8784.718750 1686578287.8890
MEM 8820.097656 1686578287.9944
MEM 8855.292969 1686578288.0985
MEM 8890.226562 1686578288.2026
MEM 8924.933594 1686578288.3062
MEM 8959.804688 1686578288.4103
MEM 8994.558594 1686578288.5144
MEM 9029.824219 1686578288.6185
MEM 9064.988281 1686578288.7221
MEM 9084.949219 1686578288.8262
MEM 9119.527344 1686578288.9303
MEM 9154.785156 1686578289.0344
MEM 9190.191406 1686578289.1390
MEM 9225.550781 1686578289.2421
MEM 9260.687500 1686578289.3462
MEM 9296.039062 1686578289.4503
MEM 9330.476562 1686578289.5544
MEM 9365.765625 1686578289.6585
MEM 9401.000000 1686578289.7626
MEM 9436.113281 1686578289.8667
MEM 9471.312500 1686578289.9708
MEM 9506.652344 1686578290.0749
MEM 9542.093750 1686578290.1789
MEM 9577.230469 1686578290.2825
MEM 9612.335938 1686578290.3867
MEM 9647.722656 1686578290.4909
MEM 9683.039062 1686578290.5950
MEM 9718.371094 1686578290.6991
MEM 9753.812500 1686578290.8032
MEM 9788.976562 1686578290.9073
MEM 9824.363281 1686578291.0114
MEM 9859.636719 1686578291.1155
MEM 9894.945312 1686578291.2196
MEM 9929.921875 1686578291.3237
MEM 9964.851562 1686578291.4273
MEM 10000.015625 1686578291.5314
MEM 10035.195312 1686578291.6355
MEM 10070.566406 1686578291.7396
MEM 10105.953125 1686578291.8437
MEM 10140.914062 1686578291.9478
MEM 10170.320312 1686578292.0519
MEM 10306.093750 1686578292.1568
MEM 10216.558594 1686578292.2609
MEM 10250.250000 1686578292.3650
MEM 10285.222656 1686578292.4691
MEM 10320.019531 1686578292.5732
MEM 10354.789062 1686578292.6773
MEM 10389.421875 1686578292.7815
MEM 10424.507812 1686578292.8851
MEM 10459.820312 1686578292.9896
MEM 10495.300781 1686578293.0937
MEM 10529.855469 1686578293.1973
MEM 10565.132812 1686578293.3014
MEM 10600.371094 1686578293.4055
MEM 10634.980469 1686578293.5111
MEM 10670.445312 1686578293.6147
MEM 10705.757812 1686578293.7193
MEM 10741.121094 1686578293.8234
