2023-06-14 19:45:10.205458| logger [2e-05] = 25
2023-06-14 19:45:33.109044| sum1 [2e-05] = 25
2023-06-14 19:45:51.313776| sum1 [0.20102] = 25
2023-06-14 19:46:17.129406| sum1 [0.20052] = 25
2023-06-14 19:46:17.351183| sum2 [1e-05] = 38
2023-06-14 19:46:17.352185| sum3 [0.0] = 51
2023-06-14 19:50:03.459001| sum1 [0.20086] = 25
2023-06-14 19:50:03.659933| sum2 [1e-05] = 38
2023-06-14 19:50:03.659933| sum3 [0.0] = 51
2023-06-14 19:50:10.714914| sum1 [0.20012] = 25
2023-06-14 19:50:10.915092| sum2 [1e-05] = 38
2023-06-14 19:50:10.915092| sum3 [0.0] = 51
2023-06-14 19:52:37.251694| sum1 [0.20047] = 25
2023-06-14 19:52:37.452219| sum2 [0.0] = 38
2023-06-14 19:52:37.452219| sum3 [0.0] = 51
2023-06-14 19:53:02.711204| sum1 [0.20069] = 25
2023-06-14 19:53:02.949382| sum2 [1e-05] = 38
2023-06-14 19:53:02.949382| sum3 [0.0] = 51
2023-06-14 19:53:21.179245| sum1 [0.2009] = 25
2023-06-14 19:53:21.380209| sum2 [0.0] = 38
2023-06-14 19:53:21.380209| sum3 [0.0] = 51
2023-06-14 19:53:39.831299| sum1 [0.20084] = 25
2023-06-14 19:53:40.032201| sum2 [0.0] = 38
2023-06-14 19:53:40.032201| sum3 [0.0] = 51
2023-06-14 19:53:47.855294| sum1 [0.2001] = 25
2023-06-14 19:53:48.055465| sum2 [0.0] = 38
2023-06-14 19:53:48.055465| sum3 [0.0] = 51
2023-06-14 19:54:21.878810| sum1 [0.2003] = 25
2023-06-14 19:54:22.079260| sum2 [0.0] = 38
2023-06-14 19:54:22.079260| sum3 [0.0] = 51
2023-06-14 19:54:48.103080| sum1 [0.20056] = 25
2023-06-14 19:54:48.303717| sum2 [0.0] = 38
2023-06-14 19:54:48.303717| sum3 [0.0] = 51
2023-06-14 19:55:36.002023| sum1 [0.20077] = 25
2023-06-14 19:55:36.202863| sum2 [0.0] = 38
2023-06-14 19:55:36.202863| sum3 [0.0] = 51
2023-06-14 19:55:57.923073| sum1 [0.20058] = 25
2023-06-14 19:55:58.123723| sum2 [0.0] = 38
2023-06-14 19:55:58.123723| sum3 [0.0] = 51
2023-06-14 19:56:28.509291| sum1 [0.20039] = 25
2023-06-14 19:56:28.709742| sum2 [0.0] = 38
2023-06-14 19:56:28.709742| sum3 [0.0] = 51
2023-06-14 19:57:23.326999| sum1 [0.20004] = 25
2023-06-14 19:57:23.527117| sum2 [0.0] = 38
2023-06-14 19:57:23.527117| sum3 [0.0] = 51
2023-06-14 19:58:05.276563| sum1 [0.20013] = 25
2023-06-14 19:58:05.476784| sum2 [0.0] = 38
2023-06-14 19:58:05.476784| sum3 [0.0] = 51
2023-06-14 19:58:49.579541| sum1 [0.201] = 25
2023-06-14 19:58:49.780618| sum2 [0.0] = 38
2023-06-14 19:58:49.780618| sum3 [0.0] = 51
2023-06-14 19:59:05.658727| sum1 [0.20137] = 25
2023-06-14 19:59:05.860175| sum2 [1e-05] = 38
2023-06-14 19:59:05.860175| sum3 [0.0] = 51
2023-06-14 19:59:17.395518| sum1 [0.20039] = 25
2023-06-14 19:59:17.595968| sum2 [0.0] = 38
2023-06-14 19:59:17.595968| sum3 [0.0] = 51
2023-06-14 19:59:24.314146| sum1 [0.2001] = 25
2023-06-14 19:59:24.514308| sum2 [0.0] = 38
2023-06-14 19:59:24.514308| sum3 [0.0] = 51
2023-06-14 20:00:50.267438| sum1 [0.20041] = 25
2023-06-14 20:00:50.467917| sum2 [0.0] = 38
2023-06-14 20:00:50.467917| sum3 [0.0] = 51
