CMDLINE python bad_optimizing.py
MEM 1.554688 1686577995.4473
MEM 39.625000 1686577995.5512
MEM 74.238281 1686577995.6552
MEM 108.796875 1686577995.7593
MEM 143.203125 1686577995.8634
MEM 177.785156 1686577995.9675
MEM 212.429688 1686577996.0719
MEM 246.460938 1686577996.1760
MEM 280.136719 1686577996.2801
MEM 314.375000 1686577996.3842
MEM 348.324219 1686577996.4883
MEM 382.851562 1686577996.5924
MEM 417.203125 1686577996.6965
MEM 451.695312 1686577996.8006
MEM 485.906250 1686577996.9046
MEM 521.148438 1686577997.0087
MEM 555.687500 1686577997.1128
MEM 591.105469 1686577997.2169
MEM 625.566406 1686577997.3210
MEM 660.800781 1686577997.4251
MEM 695.027344 1686577997.5292
MEM 730.546875 1686577997.6333
MEM 766.015625 1686577997.7374
MEM 800.093750 1686577997.8415
MEM 835.671875 1686577997.9456
MEM 869.667969 1686577998.0497
MEM 904.984375 1686577998.1535
MEM 940.414062 1686577998.2576
MEM 985.148438 1686577998.3613
MEM 1009.121094 1686577998.4654
MEM 1044.515625 1686577998.5695
MEM 1079.941406 1686577998.6739
MEM 1113.187500 1686577998.7775
MEM 1148.699219 1686577998.8819
MEM 1184.085938 1686577998.9861
MEM 1219.484375 1686577999.0903
MEM 1252.621094 1686577999.1942
MEM 1288.058594 1686577999.2990
MEM 1322.953125 1686577999.4030
MEM 1358.175781 1686577999.5070
MEM 1390.964844 1686577999.6106
MEM 1426.179688 1686577999.7148
MEM 1461.562500 1686577999.8189
MEM 1496.726562 1686577999.9230
MEM 1531.773438 1686578000.0271
MEM 1564.546875 1686578000.1312
MEM 1600.050781 1686578000.2352
MEM 1635.226562 1686578000.3393
MEM 1670.781250 1686578000.4434
MEM 1705.894531 1686578000.5475
MEM 1741.425781 1686578000.6519
MEM 1773.796875 1686578000.7561
MEM 1809.257812 1686578000.8607
MEM 1844.835938 1686578000.9649
MEM 1880.210938 1686578001.0691
MEM 1915.714844 1686578001.1733
MEM 1950.941406 1686578001.2774
MEM 1982.582031 1686578001.3819
MEM 2018.050781 1686578001.4861
MEM 2053.156250 1686578001.5893
MEM 2088.417969 1686578001.6934
MEM 2124.046875 1686578001.7975
MEM 2159.398438 1686578001.9025
MEM 2194.511719 1686578002.0075
MEM 2223.957031 1686578002.1113
MEM 2259.304688 1686578002.2150
MEM 2294.773438 1686578002.3195
MEM 2329.730469 1686578002.4233
MEM 2365.437500 1686578002.5274
MEM 2401.148438 1686578002.6317
MEM 2436.562500 1686578002.7358
MEM 2471.898438 1686578002.8399
MEM 2503.187500 1686578002.9440
MEM 2538.792969 1686578003.0481
MEM 2574.175781 1686578003.1519
MEM 2609.785156 1686578003.2559
MEM 2645.183594 1686578003.3600
MEM 2680.746094 1686578003.4641
MEM 2716.378906 1686578003.5682
MEM 2751.949219 1686578003.6719
MEM 2787.210938 1686578003.7755
MEM 2817.906250 1686578003.8796
MEM 2853.460938 1686578003.9837
MEM 2888.851562 1686578004.0874
MEM 2924.269531 1686578004.1910
MEM 2959.894531 1686578004.2953
MEM 2995.199219 1686578004.3990
MEM 3029.472656 1686578004.5031
MEM 3064.824219 1686578004.6072
MEM 3100.054688 1686578004.7115
MEM 3135.109375 1686578004.8154
MEM 3164.714844 1686578004.9193
MEM 3200.113281 1686578005.0227
MEM 3235.199219 1686578005.1270
MEM 3270.832031 1686578005.2311
MEM 3305.785156 1686578005.3352
MEM 3341.136719 1686578005.4392
MEM 3376.296875 1686578005.5429
MEM 3411.605469 1686578005.6469
MEM 3447.046875 1686578005.7510
MEM 3482.300781 1686578005.8550
MEM 3517.648438 1686578005.9585
MEM 3546.792969 1686578006.0625
MEM 3582.343750 1686578006.1666
MEM 3617.890625 1686578006.2707
MEM 3653.171875 1686578006.3758
MEM 3688.761719 1686578006.4791
MEM 3724.421875 1686578006.5832
MEM 3759.917969 1686578006.6873
MEM 3795.453125 1686578006.7914
MEM 3830.761719 1686578006.8951
MEM 3865.906250 1686578006.9987
MEM 3901.382812 1686578007.1028
MEM 3936.582031 1686578007.2066
MEM 3972.015625 1686578007.3107
MEM 4000.562500 1686578007.4143
MEM 4036.042969 1686578007.5185
MEM 4071.593750 1686578007.6226
MEM 4106.996094 1686578007.7267
MEM 4142.242188 1686578007.8309
MEM 4177.773438 1686578007.9350
MEM 4213.136719 1686578008.0393
MEM 4248.546875 1686578008.1429
MEM 4284.253906 1686578008.2471
MEM 4319.269531 1686578008.3512
MEM 4354.621094 1686578008.4547
MEM 4390.035156 1686578008.5589
MEM 4425.402344 1686578008.6630
MEM 4460.687500 1686578008.7670
MEM 4487.996094 1686578008.8712
MEM 4523.449219 1686578008.9755
MEM 4558.640625 1686578009.0796
MEM 4593.531250 1686578009.1837
MEM 4628.097656 1686578009.2878
MEM 4662.207031 1686578009.3919
MEM 4697.433594 1686578009.4956
MEM 4732.703125 1686578009.5997
MEM 4768.066406 1686578009.7037
MEM 4803.597656 1686578009.8078
MEM 4838.894531 1686578009.9115
MEM 4874.527344 1686578010.0155
MEM 4910.136719 1686578010.1203
MEM 4945.886719 1686578010.2244
MEM 4981.183594 1686578010.3280
MEM 5016.328125 1686578010.4318
MEM 5043.218750 1686578010.5357
MEM 5077.742188 1686578010.6395
MEM 5112.230469 1686578010.7436
MEM 5146.660156 1686578010.8477
MEM 5180.703125 1686578010.9513
MEM 5216.316406 1686578011.0556
MEM 5251.941406 1686578011.1595
MEM 5287.250000 1686578011.2631
MEM 5322.664062 1686578011.3672
MEM 5358.296875 1686578011.4713
MEM 5393.609375 1686578011.5750
MEM 5429.363281 1686578011.6794
MEM 5464.757812 1686578011.7833
MEM 5500.097656 1686578011.8874
